Connect database
Seeded default roles: owner, manager, cashier, waiter, chef
[GIN] 2026/05/05 - 18:36:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:36:40 | 404 |       503.8µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:36:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:36:40 | 200 |       503.9µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:36:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:36:40 | 404 |       517.4µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:36:40 | 200 |       649.5µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:36:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:36:40 | 200 |      1.0212ms |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:36:40 | 200 |       586.1µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:37:11 | 200 |       705.3µs |    192.168.1.42 | GET      "/api/roles"
[GIN] 2026/05/05 - 18:37:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:37:19 | 200 |       737.4µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:37:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:37:19 | 200 |      1.0186ms |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:37:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:37:19 | 200 |       503.6µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:37:19 | 200 |       534.8µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:43:58 | 204 |            0s |   192.168.1.232 | OPTIONS  "/api/login"
[GIN] 2026/05/05 - 18:43:58 | 200 |     39.2109ms |   192.168.1.232 | POST     "/api/login"
[GIN] 2026/05/05 - 18:43:59 | 204 |            0s |   192.168.1.232 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:43:59 | 200 |       504.4µs |   192.168.1.232 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:44:06 | 204 |            0s |   192.168.1.232 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:44:06 | 200 |         503µs |   192.168.1.232 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:44:18 | 204 |            0s |   192.168.1.232 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:44:18 | 200 |      4.6395ms |   192.168.1.232 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:44:22 | 204 |            0s |   192.168.1.232 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:44:22 | 200 |       518.7µs |   192.168.1.232 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:45:50 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:45:50 | 200 |      2.0044ms |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:45:50 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:45:50 | 200 |       504.8µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:45:50 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:45:50 | 404 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:45:50 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:45:50 | 404 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:45:50 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:46:41 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:46:41 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:46:41 | 200 |       700.2µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:46:41 | 200 |         393µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:46:49 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:46:49 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:46:49 | 200 |       503.8µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:46:49 | 200 |       528.5µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:47:26 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:47:26 | 404 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:47:26 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:47:26 | 404 |       505.3µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:47:26 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:47:26 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:47:26 | 200 |       505.7µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:47:26 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:47:26 | 200 |       502.9µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:47:27 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:47:27 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:47:27 | 200 |       503.6µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:47:27 | 200 |       798.4µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:48:01 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:48:01 | 200 |       935.7µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:48:01 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:48:01 | 200 |      1.0815ms |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:48:01 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:48:01 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:48:01 | 200 |       588.5µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:48:01 | 200 |       533.1µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:48:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:48:20 | 200 |       653.4µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:48:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:48:20 | 200 |       503.9µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:48:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:48:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:48:20 | 200 |       503.9µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:48:20 | 200 |       503.5µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:49:09 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:09 | 404 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:09 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:09 | 404 |       503.7µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:09 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:19 | 200 |      1.7603ms |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:19 | 200 |      1.0971ms |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:20 | 404 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:20 | 404 |       505.1µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:20 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:20 | 200 |       504.3µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:20 | 200 |         506µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
